abashed,more abashed,most abashed
demeaning,more demeaning,most demeaning
demented,more demented,most demented
#,demoniac,['de·mo·ni·a·cal'],[],[],more ~; most ~
demonic,more demonic,most demonic
demonstrable,more demonstrable,most demonstrable
demoralized,more demoralized,most demoralized
demoralizing,more demoralizing,most demoralizing
demotic,more demotic,most demotic
demure,more demure,most demure
dense,denser/more dense,densest/most dense
dependable,more dependable,most dependable
dependent,more dependent,most dependent
deplorable,more deplorable,most deplorable
depraved,more depraved,most depraved
deprecating,more deprecating,most deprecating
deprecatory,more deprecatory,most deprecatory
depressed,more depressed,most depressed
depressing,more depressing,most depressing
deprived,more deprived,most deprived
deranged,more deranged,most deranged
derisive,more derisive,most derisive
derisory,more derisory,most derisory
derogatory,more derogatory,most derogatory
deserving,more deserving,most deserving
designing,more designing,most designing
desirable,more desirable,most desirable
desirous,more desirous,most desirous
desolate,more desolate,most desolate
despairing,more despairing,most despairing
desperate,more desperate,most desperate
despicable,more despicable,most despicable
despondent,more despondent,most despondent
despotic,more despotic,most despotic
destitute,more destitute,most destitute
destructive,more destructive,most destructive
desultory,more desultory,most desultory
detailed,more detailed,most detailed
determined,more determined,most determined
detestable,more detestable,most detestable
detrimental,more detrimental,most detrimental
devastating,more devastating,most devastating
developed,more developed,most developed
deviant,more deviant,most deviant
devilish,more devilish,most devilish
devil-may-care,more devil-may-care,most devil-may-care
devious,more devious,most devious
devoted,more devoted,most devoted
devout,more devout,most devout
dexterous/dextrous,more dexterous/more dextrous,most dexterous/most dextrous
diabolical,more diabolical,most diabolical
dicey,dicier,diciest
didactic,more didactic,most didactic
die-hard,more die-hard,most die-hard
differential,more differential,most differential
differing,more differing,most differing
difficult,more difficult,most difficult
diffident,more diffident,most diffident
diffuse,more diffuse,most diffuse
digestible,more digestible,most digestible
dignified,more dignified,most dignified
dilapidated,more dilapidated,most dilapidated
dilated,more dilated,most dilated
dilettantish,more dilettantish,most dilettantish
diligent,more diligent,most diligent
dilute,more dilute,most dilute
dim,dimmer,dimmest
dimpled,more dimpled,most dimpled
dim-witted,more dim-witted,most dim-witted
dingy,dingier/more dingy,dingiest/most dingy
dinky,dinkier,dinkiest
dippy,dippier,dippiest
dire,direr/more dire,direst/most dire
dirty,dirtier,dirtiest
disabled,more disabled,most disabled
disadvantaged,more disadvantaged,most disadvantaged
disadvantageous,more disadvantageous,most disadvantageous
disaffected,more disaffected,most disaffected
disagreeable,more disagreeable,most disagreeable
disappointed,more disappointed,most disappointed
disappointing,more disappointing,most disappointing
disapproving,more disapproving,most disapproving
disarming,more disarming,most disarming
disastrous,more disastrous,most disastrous
discernible,more discernible,most discernible
discerning,more discerning,most discerning
disciplined,more disciplined,most disciplined
discolored,more discolored,most discolored
discomfiting,more discomfiting,most discomfiting
discomforting,more discomforting,most discomforting
disconcerted,more disconcerted,most disconcerted
disconcerting,more disconcerting,most disconcerting
disconsolate,more disconsolate,most disconsolate
discontent,more discontent,most discontent
discontented,more discontented,most discontented
discontinuous,more discontinuous,most discontinuous
discordant,more discordant,most discordant
discouraged,more discouraged,most discouraged
discouraging,more discouraging,most discouraging
discourteous,more discourteous,most discourteous
discreditable,more discreditable,most discreditable
discreet,more discreet,most discreet
discriminating,more discriminating,most discriminating
discriminatory,more discriminatory,most discriminatory
discursive,more discursive,most discursive
disdainful,more disdainful,most disdainful
diseased,more diseased,most diseased
disenchanted,more disenchanted,most disenchanted
disengaged,more disengaged,most disengaged
disfigured,more disfigured,most disfigured
disgraceful,more disgraceful,most disgraceful
disgruntled,more disgruntled,most disgruntled
disgusted,more disgusted,most disgusted
disgusting,more disgusting,most disgusting
disheartened,more disheartened,most disheartened
disheartening,more disheartening,most disheartening
dishonest,more dishonest,most dishonest
dishy,dishier,dishiest
disillusioned,more disillusioned,most disillusioned
disillusioning,more disillusioning,most disillusioning
disinclined,more disinclined,most disinclined
disingenuous,more disingenuous,most disingenuous
disinterested,more disinterested,most disinterested
disjointed,more disjointed,most disjointed
disloyal,more disloyal,most disloyal
dismal,more dismal,most dismal
dismayed,more dismayed,most dismayed
dismaying,more dismaying,most dismaying
disobedient,more disobedient,most disobedient
disorderly,more disorderly,most disorderly
disorganized/disorganised,more disorganized/more disorganised,most disorganized/most disorganised
disoriented,more disoriented,most disoriented
disorienting,more disorienting,most disorienting
disparaging,more disparaging,most disparaging
disparate,more disparate,most disparate
dispassionate,more dispassionate,most dispassionate
dispensable,more dispensable,most dispensable
dispirited,more dispirited,most dispirited
dispiriting,more dispiriting,most dispiriting
displeased,more displeased,most displeased
displeasing,more displeasing,most displeasing
disproportional,more disproportional,most disproportional
disproportionate,more disproportionate,most disproportionate
disputable,more disputable,most disputable
disputatious,more disputatious,most disputatious
disquieting,more disquieting,most disquieting
disreputable,more disreputable,most disreputable
disrespectful,more disrespectful,most disrespectful
disruptive,more disruptive,most disruptive
dissatisfied,more dissatisfied,most dissatisfied
dissatisfying,more dissatisfying,most dissatisfying
dissimilar,more dissimilar,most dissimilar
dissolute,more dissolute,most dissolute
dissonant,more dissonant,most dissonant
distasteful,more distasteful,most distasteful
distinct,more distinct,most distinct
distinctive,more distinctive,most distinctive
distinguishable,more distinguishable,most distinguishable
distinguished,more distinguished,most distinguished
distinguishing,more distinguishing,most distinguishing
distorted,more distorted,most distorted
distracted,more distracted,most distracted
distracting,more distracting,most distracting
distraught,more distraught,most distraught
distressing,more distressing,most distressing
distrustful,more distrustful,most distrustful
disturbed,more disturbed,most disturbed
disturbing,more disturbing,most disturbing
ditzy/ditsy,ditzier/ditsier/more ditzy/more ditsy,ditziest/ditsiest/most ditzy/more ditsy
divergent,more divergent,most divergent
diverse,more diverse,most diverse
diversified,more diversified,most diversified
diverting,more diverting,most diverting
divisive,more divisive,most divisive
dizzy,dizzier,dizziest
doable,more doable,most doable
docile,more docile,most docile
doctrinaire,more doctrinaire,most doctrinaire
dodgy,dodgier/more dodgy,est/most dodgy
dog-eared,more dog-eared,most dog-eared
dogged,more dogged,most dogged
dogmatic,more dogmatic,most dogmatic
dog-tired,more dog-tired,most dog-tired
doleful,more doleful,most doleful
doltish,more doltish,most doltish
domesticated,more domesticated,most domesticated
dominating,more dominating,most dominating
domineering,more domineering,most domineering
donnish,more donnish,most donnish
dope,more dope,most dope
dopey,dopier/more dopey,dopiest/most dopey
dorky,dorkier,dorkiest
dormant,more dormant,most dormant
dotty,dottier,dottiest
doubtful,more doubtful,most doubtful
doughty,doughtier/more doughty,doughtiest/most doughty
doughy,more doughy,most doughy
dour,dourer/more dour,dourest/most dour
dovish,more dovish,most dovish
dowdy,dowdier/more dowdy,dowdiest/most dowdy
down-and-dirty,more down-and-dirty,most down-and-dirty
down-and-out,more down-and-out,most down-and-out
downbeat,more downbeat,most downbeat
downhearted,more downhearted,most downhearted
down-home,more down-home,most down-home
down-market,more down-market,most down-market
downscale,more downscale,most downscale
down-to-earth,more down-to-earth,most down-to-earth
downy,downier,downiest
dozy,dozier/more dozy,doziest/most dozy
drab,drabber/more drab,drabbest/most drab
draconian,more draconian,most draconian
drastic,more drastic,most drastic
drawn,more drawn,most drawn
drawn-out,more drawn-out,most drawn-out
dreaded,more dreaded,most dreaded
dreadful,more dreadful,most dreadful
dreamy,dreamier/more dreamy,dreamiest/most dreamy
dreary,drearier/more dreary,dreariest/most dreary
dressy,dressier,dressiest
drizzly,drizlier,drizliest
droll,droller,drollest
droopy,droopier,droopiest
drowsy,drowsier/more drowsy,drowsiest/most drowsy
drunk,drunker/more drunk,drunkest/most drunk
dry,drier/more dry,driest/most dry
dubious,more dubious,most dubious
ducky,duckier/more ducky,duckiest/most ducky
dulcet,more dulcet,most dulcet
dull,duller,dullest
dumb,dumber,dumbest
dumbfounded,more dumbfounded,most dumbfounded
dumpy,dumpier,dumpiest
durable,more durable,most durable
dusky,duskier,duskiest
dusty,dustier/more dusty,dustiest/most dusty
dutiful,more dutiful,most dutiful
dysfunctional,more dysfunctional,most dysfunctional
eager,more eager,most eager
eagle-eyed,more eagle-eyed,most eagle-eyed
early,earlier,earliest
earnest,more earnest,most earnest
earsplitting,more earsplitting,most earsplitting
earthshaking,more earthshaking,most earthshaking
earthshattering,more earthshattering,most earthshattering
earthy,earthier,earthiest
easterly,more easterly,most easterly
easy,easier,easiest
easygoing,more easygoing,most easygoing
ebullient,more ebullient,most ebullient
eccentric,more eccentric,most eccentric
eclectic,more eclectic,most eclectic
economical,more economical,most economical
ecstatic,more ecstatic,most ecstatic
edgy,edgier/more edgy,edgiest/most edgy
edifying,more edifying,most edifying
educated,more educated,most educated
eerie,eerier/more eerie,eeriest/most eerie
effectual,more effectual,most effectual
effeminate,more effeminate,most effeminate
effervescent,more effervescent,most effervescent
effete,more effete,most effete
efficacious,more efficacious,most efficacious
efficient,more efficient,most efficient
effortless,more effortless,most effortless
effusive,more effusive,most effusive
egalitarian,more egalitarian,most egalitarian
eggheaded,more eggheaded,most eggheaded
egocentric,more egocentric,most egocentric
egoistic,more egoistic,most egoistic
egregious,more egregious,most egregious
elaborate,more elaborate,most elaborate
elastic,more elastic,most elastic
elated,more elated,most elated
elderly,more elderly,most elderly
electrifying,more electrifying,most electrifying
elegant,more elegant,most elegant
elegiac,more elegiac,most elegiac
elephantine,more elephantine,most elephantine
elevated,more elevated,most elevated
elfin,more elfin,most elfin
elfish,more elfish,most elfish
elitist,more elitist,most elitist
elliptical/elliptic,more elliptical/more elliptic,most elliptical/most elliptic
elongated,more elongated,most elongated
eloquent,more eloquent,most eloquent
elusive,more elusive,most elusive
emaciated,more emaciated,most emaciated
embarrassed,more embarrassed,most embarrassed
embarrassing,more embarrassing,most embarrassing
embittered,more embittered,most embittered
emblematic,more emblematic,most emblematic
embraceable,more embraceable,most embraceable
eminent,more eminent,most eminent
emotionless,more emotionless,most emotionless
emotive,more emotive,most emotive
emphatic,more emphatic,most emphatic
employable,more employable,most employable
empty,emptier,emptiest
empty-headed,more empty-headed,most empty-headed
enchanting,more enchanting,most enchanting
encouraged,more encouraged,most encouraged
encouraging,more encouraging,most encouraging
#,encyclopedic,['en·cy·clo·pae·dic'],[],[],more ~; most ~
endangered,more endangered,most endangered
endearing,more endearing,most endearing
energetic,more energetic,most energetic
#,energizing,['energising'],[],[],more ~; most ~
enervating,more enervating,most enervating
enfeebled,more enfeebled,most enfeebled
enforceable,more enforceable,most enforceable
engaging,more engaging,most engaging
engorged,more engorged,most engorged
engrossing,more engrossing,most engrossing
enigmatic/enigmatical,more enigmatic/more enigmatical,most enigmatic/most enigmatical
enjoyable,more enjoyable,most enjoyable
enlightened,more enlightened,most enlightened
enlightening,more enlightening,most enlightening
ennobling,more ennobling,most ennobling
enormous,more enormous,most enormous
enterprising,more enterprising,most enterprising
entertaining,more entertaining,most entertaining
enthralling,more enthralling,most enthralling
enthused,more enthused,most enthused
enthusiastic,more enthusiastic,most enthusiastic
enticing,more enticing,most enticing
entrancing,more entrancing,most entrancing
entrenched,more entrenched,most entrenched
enviable,more enviable,most enviable
envious,more envious,most envious
ephemeral,more ephemeral,most ephemeral
equable,more equable,most equable
equitable,more equitable,most equitable
equivocal,more equivocal,most equivocal
ergonomic,more ergonomic,most ergonomic
erogenous,more erogenous,most erogenous
erosive,more erosive,most erosive
erotic,more erotic,most erotic
erratic,more erratic,most erratic
erroneous,more erroneous,most erroneous
ersatz,more ersatz,most ersatz
erudite,more erudite,most erudite
esoteric,more esoteric,most esoteric
essential,more essential,most essential
estimable,more estimable,most estimable
ethereal,more ethereal,most ethereal
ethnocentric,more ethnocentric,most ethnocentric
euphemistic,more euphemistic,most euphemistic
euphonious,more euphonious,most euphonious
euphoric,more euphoric,most euphoric
evanescent,more evanescent,most evanescent
evangelical,more evangelical,most evangelical
evangelistic,more evangelistic,most evangelistic
evasive,more evasive,most evasive
evenhanded,more evenhanded,most evenhanded
even-tempered,more even-tempered,most even-tempered
eventful,more eventful,most eventful
evident,more evident,most evident
evil,eviler/more evil,evilest/most evil
evil-minded,more evil-minded,most evil-minded
evocative,more evocative,most evocative
exacting,more exacting,most exacting
exaggerated,more exaggerated,most exaggerated
exalted,more exalted,most exalted
exalting,more exalting,most exalting
exasperated,more exasperated,most exasperated
exasperating,more exasperating,most exasperating
exceptionable,more exceptionable,most exceptionable
exceptional,more exceptional,most exceptional
excessive,more excessive,most excessive
excitable,more excitable,most excitable
excited,more excited,most excited
exciting,more exciting,most exciting
excruciating,more excruciating,most excruciating
execrable,more execrable,most execrable
exemplary,more exemplary,most exemplary
exhausted,more exhausted,most exhausted
exhausting,more exhausting,most exhausting
exhaustive,more exhaustive,most exhaustive
exhibitionist/exhibitionistic,more exhibitionist/more exhibitionistic,most exhibitionist/most exhibitionistic
exhilarated,more exhilarated,most exhilarated
exhilarating,more exhilarating,most exhilarating
exigent,more exigent,most exigent
exorbitant,more exorbitant,most exorbitant
exotic,more exotic,most exotic
expandable,more expandable,most expandable
expansive,more expansive,most expansive
expectable,more expectable,most expectable
expedient,more expedient,most expedient
expeditious,more expeditious,most expeditious
expensive,more expensive,most expensive
experienced,more experienced,most experienced
experimental,more experimental,most experimental
expert,more expert,most expert
explainable,more explainable,most explainable
explicit,more explicit,most explicit
exploitable,more exploitable,most exploitable
exploratory,more exploratory,most exploratory
expressive,more expressive,most expressive
exquisite,more exquisite,most exquisite
extemporaneous,more extemporaneous,most extemporaneous
extensive,more extensive,most extensive
extraordinary,more extraordinary,most extraordinary
extravagant,more extravagant,most extravagant
extroverted/extraverted,more extroverted/more extraverted,most extroverted/most extraverted
exuberant,more exuberant,most exuberant
exultant,more exultant,most exultant
eye-catching,more eye-catching,most eye-catching
eye-opening,more eye-opening,most eye-opening
facetious,more facetious,most facetious
facile,more facile,most facile
faddish,more faddish,most faddish
fagged,more fagged,most fagged
fail-safe,more fail-safe,most fail-safe
faint,fainter,faintest
fainthearted,more fainthearted,most fainthearted
fair,fairer,fairest
fair-minded,more fair-minded,most fair-minded
faithful,more faithful,most faithful
faithless,more faithless,most faithless
fallacious,more fallacious,most fallacious
fallible,more fallible,most fallible
familiar,more familiar,most familiar
famished,more famished,most famished
famous,more famous,most famous
fanciful,more fanciful,most fanciful
fancy,fancier,fanciest
fantastic,more fantastic,most fantastic
far,farther/further,farthest/furthest
farcical,more farcical,most farcical
far-fetched,more far-fetched,most far-fetched
far-flung,more far-flung,most far-flung
far-out,more far-out,most far-out
far-reaching,more far-reaching,most far-reaching
farsighted,more farsighted,most farsighted
fascinating,more fascinating,most fascinating
fascistic,more fascistic,most fascistic
fashionable,more fashionable,most fashionable
fast,faster,fastest
fastidious,more fastidious,most fastidious
fat,fatter,fattest
fatal,more fatal,most fatal
fatalistic,more fatalistic,most fatalistic
fatheaded,more fatheaded,most fatheaded
fatherly,more fatherly,most fatherly
fatigued,more fatigued,most fatigued
fatiguing,more fatiguing,most fatiguing
fattening,more fattening,most fattening
fatty,fattier/more fatty,fattiest/most fatty
fatuous,more fatuous,most fatuous
faulty,faultier/more faulty,faultiest/most faulty
fearful,more fearful,most fearful
fearless,more fearless,most fearless
fearsome,more fearsome,most fearsome
feasible,more feasible,most feasible
featherbrained,more featherbrained,most featherbrained
feathery,more feathery,most feathery
febrile,more febrile,most febrile
feckless,more feckless,most feckless
fecund,more fecund,most fecund
feeble,feebler/more feeble,feeblest/most feeble
feebleminded,more feebleminded,most feebleminded
feisty,feistier/more feisty,feistiest/most feisty
felicitous,more felicitous,most felicitous
ferocious,more ferocious,most ferocious
fervent,more fervent,most fervent
fervid,more fervid,most fervid
fetching,more fetching,most fetching
fetid,more fetid,most fetid
fevered,more fevered,most fevered
feverish,more feverish,most feverish
few,fewer,fewest
fibrous,more fibrous,most fibrous
fickle,more fickle,most fickle
fiddly,fiddlier/more fiddly,fiddliest/most fiddly
fidgety,more fidgety,most fidgety
fiendish,more fiendish,most fiendish
fierce,fiercer,fiercest
fiery,fierier/more fiery,fieriest/most fiery
filling,more filling,most filling
filmy,filmier,filmiest
filthy,filthier,filthiest
fine,finer,finest
finicky,more finicky,most finicky
firm,firmer,firmest
fishy,fishier,fishiest
fissured,more fissured,most fissured
fit,fitter,fittest
fitful,more fitful,most fitful
fitting,more fitting,most fitting
fixated,more fixated,most fixated
fizzy,fizzier,fizziest
flabbergasting,more flabbergasting,most flabbergasting
flabby,flabbier,flabbiest
flaccid,more flaccid,most flaccid
flagrant,more flagrant,most flagrant
flaky,flakier,flakiest
flamboyant,more flamboyant,most flamboyant
flammable,more flammable,most flammable
flashy,flashier,flashiest
flat,flatter,flattest
flattering,more flattering,most flattering
flatulent,more flatulent,most flatulent
flawed,more flawed,most flawed
fleecy,fleecier,fleeciest
fleet,fleeter,fleetest
fleet-footed,more fleet-footed,most fleet-footed
fleeting,more fleeting,most fleeting
fleshy,fleshier,fleshiest
flexible,more flexible,most flexible
flighty,flightier/more flighty,flightiest/most flighty
flimsy,flimsier/more flimsy,flimsiest/most flimsy
flinty,flintier,flintiest
flip,flipper/more flip,flippest/most flip
flippant,more flippant,most flippant
flirtatious,more flirtatious,most flirtatious
floppy,floppier,floppiest
floral,more floral,most floral
florid,more florid,most florid
flouncy,flouncier,flounciest
floury,more floury,most floury
flowery,flowerier/more flowery,floweriest/most flowery
fluent,more fluent,most fluent
fluffy,fluffier,fluffiest
fluid,more fluid,most fluid
flustered,more flustered,most flustered
foamy,foamier,foamiest
focused/focussed,more focused/more focussed,most focused/most focussed
foggy,foggier,foggiest
folksy,folksier,folksiest
fond,fonder,fondest
foolhardy,more foolhardy,most foolhardy
foolish,more foolish,most foolish
foolproof,more foolproof,most foolproof
footloose,more footloose,most footloose
footsore,more footsore,most footsore
foppish,more foppish,most foppish
forbearing,more forbearing,most forbearing
forbidding,more forbidding,most forbidding
forceful,more forceful,most forceful
foresighted,more foresighted,most foresighted
forested,more forested,most forested
forgetful,more forgetful,most forgetful
forgettable,more forgettable,most forgettable
forgivable,more forgivable,most forgivable
forgiving,more forgiving,most forgiving
forlorn,more forlorn,most forlorn
#,formalist,['for·mal·is·tic'],[],[],more ~; most ~
formative,more formative,most formative
formidable,more formidable,most formidable
formulaic,more formulaic,most formulaic
forthright,more forthright,most forthright
fortuitous,more fortuitous,most fortuitous
fortunate,more fortunate,most fortunate
forward-looking,more forward-looking,most forward-looking
forward-thinking,more forward-thinking,most forward-thinking
foul,fouler/more foul,foulest/most foul
foul-mouthed,more foul-mouthed,most foul-mouthed
foxy,foxier,foxiest
fractious,more fractious,most fractious
fragile,more fragile,most fragile
fragmentary,more fragmentary,most fragmentary
fragmented,more fragmented,most fragmented
fragrant,more fragrant,most fragrant
frail,frailer,frailest
frank,franker/more frank,frankest/most frank
frantic,more frantic,most frantic
fraudulent,more fraudulent,most fraudulent
frazzled,more frazzled,most frazzled
freakish,more freakish,most freakish
freaky,freakier,freakiest
freckled,more freckled,most freckled
free,freer,freest
frenetic,more frenetic,most frenetic
frenzied,more frenzied,most frenzied
frequent,more frequent,most frequent
fresh,fresher,freshest
fretful,more fretful,most fretful
friable,more friable,most friable
friendly,friendlier/more friendly,friendliest/most friendly
frightened,more frightened,most frightened
frightening,more frightening,most frightening
frightful,more frightful,most frightful
frigid,more frigid,most frigid
frilly,frillier/more frilly,frilliest/most frilly
frisky,friskier/more frisky,friskiest/most frisky
frivolous,more frivolous,most frivolous
frizzy,frizzier,frizziest
frolicsome,more frolicsome,most frolicsome
frosty,frostier,frostiest
frou-frou,more frou-frou,most frou-frou
frowsy,frowsier,frowsiest
frowzy,frowzier,frowziest
frugal,more frugal,most frugal
fruitful,more fruitful,most fruitful
fruity,fruitier,fruitiest
frumpy,frumpier,frumpiest
frustrating,more frustrating,most frustrating
fudgy,fudgier,fudgiest
fulfilled,more fulfilled,most fulfilled
fulfilling,more fulfilling,most fulfilling
full,fuller,fullest
full-bodied,more full-bodied,most full-bodied
fulsome,more fulsome,most fulsome
fun,funner,funnest
fundamental,more fundamental,most fundamental
funky,funkier,funkiest
funny,funnier,funniest
furious,more furious,most furious
furry,furrier,furriest
furtive,more furtive,most furtive
fussy,fussier,fussiest
fusty,fustier,fustiest
futile,more futile,most futile
fuzzy,fuzzier,fuzziest
gabby,gabbier,gabbiest
gaga,more gaga,most gaga
gainful,more gainful,most gainful
gallant,more gallant,most gallant
galling,more galling,most galling
game,gamer,gamest
#,gamy,['gam·ey'],['gamier', 'gamiest'],['gam·i·er', '-est'],
gangling,more gangling,most gangling
gangly,ganglier,gangliest
gargantuan,more gargantuan,most gargantuan
garish,more garish,most garish
garlicky,more garlicky,most garlicky
garrulous,more garrulous,most garrulous
gassy,gassier,gassiest
gauche,gaucher/more gauche,gauchest/most gauche
gaudy,gaudier,gaudiest
gaunt,gaunter,gauntest
gauzy,gauzier,gauziest
gawky,gawkier,gawkiest
gay,gayer/more gay,gayest/most gay
geeky,geekier,geekiest
gelatinous,more gelatinous,most gelatinous
#,generalized,['generalised'],[],[],more ~; most ~
generic,more generic,most generic
generous,more generous,most generous
genial,more genial,most genial
genteel,more genteel,most genteel
gentle,gentler/more gentle,gentlest/most gentle
gentlemanly,more gentlemanly,most gentlemanly
genuine,more genuine,most genuine
germane,more germane,most germane
ghastly,ghastlier,ghastliest
ghostly,ghostlier/more ghostly,ghostliest/most ghostly
ghoulish,more ghoulish,most ghoulish
giant,more giant,most giant
giddy,giddier,giddiest
gifted,more gifted,most gifted
gigantic,more gigantic,most gigantic
giggly,more giggly,most giggly
gimmicky,more gimmicky,most gimmicky
gimpy,gimpier/more gimpy,gimpiest/most gimpy
gingery,more gingery,most gingery
girlish,more girlish,most girlish
glad,gladder/more glad,gladdest/most glad
glam,more glam,most glam
glamorous,more glamorous,most glamorous
glassy,glassier,glassiest
gleeful,more gleeful,most gleeful
glib,glibber/more glib,glibbest/most glib
glittering,more glittering,most glittering
glittery,more glittery,most glittery
glitzy,glitzier,glitziest
gloomy,gloomier/more gloomy,gloomiest/most gloomy
gloppy,gloppier,gloppiest
glorious,more glorious,most glorious
glossy,glossier/more glossy,glossiest/most glossy
glowing,more glowing,most glowing
gluey,gluier,gluiest
glum,glummer,glummest
glutinous,more glutinous,most glutinous
gluttonous,more gluttonous,most gluttonous
gnarled,more gnarled,most gnarled
gnarly,gnarlier,gnarliest
gnawing,more gnawing,most gnawing
gnomic,more gnomic,most gnomic
gobsmacked,more gobsmacked,most gobsmacked
god-awful,more god-awful,most god-awful
God-fearing,more God-fearing,most God-fearing
godforsaken,more godforsaken,most godforsaken
godless,more godless,most godless
godly,godlier/more godly,godliest/most godly
good,better,best
good-for-nothing,more good-for-nothing,most good-for-nothing
good-hearted,more good-hearted,most good-hearted
good-looking,more good-looking,most good-looking
goodly,goodlier,goodliest
good-natured,more good-natured,most good-natured
good-tempered,more good-tempered,most good-tempered
gooey,gooier,gooest
goofy,goofier/more goofy,goofiest/most goofy
gorgeous,more gorgeous,most gorgeous
gormless,more gormless,most gormless
gory,gorier,goriest
gossipy,more gossipy,most gossipy
gourdlike,more gourdlike,most gourdlike
gouty,goutier,goutiest
governable,more governable,most governable
grabby,grabbier,grabbiest
graceful,more graceful,most graceful
graceless,more graceless,most graceless
gracious,more gracious,most gracious
gradual,more gradual,most gradual
grainy,grainier/more grainy,grainiest/most grainy
grand,grander,grandest
grandiloquent,more grandiloquent,most grandiloquent
grandiose,more grandiose,most grandiose
granular,more granular,most granular
grasping,more grasping,most grasping
grassy,grassier,grassiest
grateful,more grateful,most grateful
gratified,more gratified,most gratified
gratifying,more gratifying,most gratifying
grating,more grating,most grating
gratuitous,more gratuitous,most gratuitous
grave,graver/more grave,gravest/most grave
gravelly,more gravelly,most gravelly
greasy,greasier,greasiest
great,greater,greatest
greedy,greedier,greediest
green,greener,greenest
gregarious,more gregarious,most gregarious
grief-stricken,more grief-stricken,most grief-stricken
grievous,more grievous,most grievous
grim,grimmer,grimmest
grimy,grimier,grimiest
grinding,more grinding,most grinding
gripping,more gripping,most gripping
grisly,grislier/more grisly,grisliest/most grisly
gristly,gristlier/more gristly,gristliest/most gristly
gritty,grittier/more gritty,grittiest/most gritty
groggy,groggier/more groggy,groggiest/most groggy
groovy,groovier,grooviest
gross,grosser/more gross,grossest/most gross
grotesque,more grotesque,most grotesque
grotty,grottier,grottiest
grouchy,grouchier,grouchiest
groundbreaking,more groundbreaking,most groundbreaking
grounded,more grounded,most grounded
groundless,more groundless,most groundless
growly,growlier,growliest
grown-up,more grown-up,most grown-up
grubby,grubbier,grubbiest
grudging,more grudging,most grudging
gruesome,more gruesome,most gruesome
gruff,gruffer,gruffest
grumpy,grumpier,grumpiest
grungy,grungier,grungiest
guarded,more guarded,most guarded
guileless,more guileless,most guileless
guiltless,more guiltless,most guiltless
guilty,guiltier/more guilty,guiltiest/most guilty
gullible,more gullible,most gullible
gummy,gummier/more gummy,gummiest/most gummy
gungy,gungier,gungiest
gunky,gunkier,gunkiest
gushy,gushier/more gushy,gushiest/most gushy
gusty,gustier,gustiest
gutless,more gutless,most gutless
gutsy,gutsier/more gutsy,gutsiest/most gutsy
gut-wrenching,more gut-wrenching,most gut-wrenching
habit-forming,more habit-forming,most habit-forming
hackneyed,more hackneyed,most hackneyed
haggard,more haggard,most haggard
hair-raising,more hair-raising,most hair-raising
hairy,hairier/more hairy,hairiest/most hairy
hale,haler/more hale,halest/most hale
half-baked,more half-baked,most half-baked
halfhearted,more halfhearted,most halfhearted
half-witted,more half-witted,most half-witted
hallowed,more hallowed,most hallowed
halting,more halting,most halting
ham-fisted,more ham-fisted,most ham-fisted
ham-handed,more ham-handed,most ham-handed
hammered,more hammered,most hammered
handsome,handsomer/more handsome,handsomest/most handsome
handy,handier/more handy,handiest/most handy
hangdog,more hangdog,most hangdog
haphazard,more haphazard,most haphazard
hapless,more hapless,most hapless
happening,more happening,most happening
happy,happier,happiest
happy-go-lucky,more happy-go-lucky,most happy-go-lucky
harassed,more harassed,most harassed
hard,harder,hardest
hard-assed,more hard-assed,most hard-assed
hard-bitten,more hard-bitten,most hard-bitten
hard-charging,more hard-charging,most hard-charging
hard-core,more hard-core,most hard-core
hard-drinking,more hard-drinking,most hard-drinking
hard-driving,more hard-driving,most hard-driving
hard-earned,more hard-earned,most hard-earned
hard-edged,more hard-edged,most hard-edged
hardened,more hardened,most hardened
hard-eyed,more hard-eyed,most hard-eyed
hard-fought,more hard-fought,most hard-fought
hardheaded,more hardheaded,most hardheaded
hard-hearted,more hard-hearted,most hard-hearted
hard-hitting,more hard-hitting,most hard-hitting
hard-nosed,more hard-nosed,most hard-nosed
hard-pressed,more hard-pressed,most hard-pressed
hardscrabble,more hardscrabble,most hardscrabble
hard-wearing,more hard-wearing,most hard-wearing
hard-won,more hard-won,most hard-won
hardworking,more hardworking,most hardworking
hardy,hardier,hardiest
harebrained,more harebrained,most harebrained
harmful,more harmful,most harmful
harmless,more harmless,most harmless
harmonious,more harmonious,most harmonious
harried,more harried,most harried
harrowing,more harrowing,most harrowing
harsh,harsher/more harsh,harshest/most harsh
hasty,hastier/more hasty,hastiest/most hasty
hateful,more hateful,most hateful
haughty,haughtier,haughtiest
haunting,more haunting,most haunting
hawkish,more hawkish,most hawkish
hazardous,more hazardous,most hazardous
hazy,hazier,haziest
headachy,more headachy,most headachy
headstrong,more headstrong,most headstrong
heady,headier,headiest
healthful,more healthful,most healthful
healthy,healthier/more healthy,healthiest/most healthy
heartbreaking,more heartbreaking,most heartbreaking
heartbroken,more heartbroken,most heartbroken
heartening,more heartening,most heartening
heartfelt,more heartfelt,most heartfelt
heart-healthy,more heart-healthy,most heart-healthy
heartless,more heartless,most heartless
heartrending,more heartrending,most heartrending
heartsick,more heartsick,most heartsick
heart-stopping,more heart-stopping,most heart-stopping
heartwarming,more heartwarming,most heartwarming
hearty,heartier/more hearty,heartiest/most hearty
heavy,heavier,heaviest
heavy-duty,more heavy-duty,most heavy-duty
